0,091	1,33E-12	-0,246002	-0,246002
0,092	4,85E-13	-0,246317	-0,246317
0,093	6,42E-14	-0,23369	-0,23369
0,094	1,76E-13	-0,208142	-0,208142
0,095	8,64E-13	-0,169983	-0,169983
0,096	2,07E-12	-0,12029	-0,12029
0,097	3,66E-12	-0,0614086	-0,0614086
0,098	5,46E-12	0,00274569	0,00274569
0,099	7,33E-12	0,0664087	0,0664087
0,1	9,17E-12	0,121358	0,121358
0,101	1,10E-11	0,156959	0,156959
0,102	1,28E-11	0,16365	0,16365
0,103	1,45E-11	0,139336	0,139336
0,104	1,61E-11	0,0911596	0,0911596
0,105	1,73E-11	0,029998	0,029998
0,106	1,79E-11	-0,0347758	-0,0347758
0,107	1,77E-11	-0,0964487	-0,0964487
0,108	1,64E-11	-0,150378	-0,150378
0,109	1,40E-11	-0,193584	-0,193584
0,11	1,08E-11	-0,224506	-0,224506
0,111	7,02E-12	-0,242579	-0,242579
0,112	3,32E-12	-0,247706	-0,247706
0,113	2,03E-13	-0,239894	-0,239894
0,114	1,91E-12	-0,21914	-0,21914
0,115	2,74E-12	-0,185598	-0,185598
0,116	2,26E-12	-0,139997	-0,139997
0,117	6,20E-13	-0,0841641	-0,0841641
0,118	1,87E-12	-0,0214065	-0,0214065
0,119	4,85E-12	0,0432514	0,0432514
0,12	8,06E-12	0,10258	0,10258
0,121	1,13E-11	0,146681	0,146681
0,122	1,45E-11	0,164893	0,164893
0,123	1,76E-11	0,151701	0,151701
0,124	2,04E-11	0,111173	0,111173
0,125	2,28E-11	0,0536041	0,0536041
0,126	2,45E-11	-0,0107426	-0,0107426
0,127	2,51E-11	-0,0742071	-0,0742071
0,128	2,44E-11	-0,131448	-0,131448
0,129	2,20E-11	-0,178892	-0,178892
0,13	1,80E-11	-0,214489	-0,214489
0,131	1,26E-11	-0,237366	-0,237366
0,132	6,41E-12	-0,247306	-0,247306
0,133	2,18E-13	-0,244306	-0,244306
0,134	5,02E-12	-0,228361	-0,228361
0,135	8,38E-12	-0,199531	-0,199531
0,136	9,16E-12	-0,15827	-0,15827
0,137	7,16E-12	-0,105941	-0,105941
0,138	2,70E-12	-0,0452697	-0,0452697
0,139	3,53E-12	0,0193915	0,0193915
0,14	1,08E-11	0,0817156	0,0817156
0,141	1,85E-11	0,132773	0,132773
0,142	2,63E-11	0,161686	0,161686
0,143	3,39E-11	0,160219	0,160219
0,144	4,10E-11	0,128834	0,128834
0,145	4,72E-11	0,0762978	0,0762978
0,146	5,20E-11	0,0134304	0,0134304
0,147	5,44E-11	-0,0510926	-0,0510926
0,148	5,37E-11	-0,111151	-0,111151
0,149	4,90E-11	-0,162553	-0,162553
0,15	4,04E-11	-0,202709	-0,202709
0,151	2,82E-11	-0,230364	-0,230364
0,152	1,39E-11	-0,245117	-0,245117
0,153	6,70E-13	-0,246927	-0,246927
0,154	1,31E-11	-0,235796	-0,235796
0,155	2,12E-11	-0,211735	-0,211735
0,156	2,30E-11	-0,174997	-0,174997
0,157	1,77E-11	-0,126544	-0,126544
0,158	5,66E-12	-0,0685577	-0,0685577
0,159	1,14E-11	-0,00475957	-0,00475958
0,16	3,15E-11	0,059324	0,059324
0,161	5,30E-11	0,115786	0,115786
0,162	7,49E-11	0,154183	0,154183
0,163	9,66E-11	0,164508	0,164508
0,164	1,18E-10	0,143553	0,143553
0,165	1,37E-10	0,0975859	0,0975859
0,166	1,53E-10	0,0373956	0,0373956
0,167	1,64E-10	-0,0273475	-0,0273475
0,168	1,67E-10	-0,0896468	-0,0896468
0,169	1,60E-10	-0,14465	-0,14465
0,17	1,43E-10	-0,189195	-0,189195
0,171	1,15E-10	-0,221577	-0,221577
0,172	7,84E-11	-0,241141	-0,241141
0,173	3,83E-11	-0,247761	-0,247761
0,174	1,61E-13	-0,241441	-0,241441
0,175	3,07E-11	-0,222177	-0,222177
0,176	4,75E-11	-0,190089	-0,190089
0,177	4,68E-11	-0,145811	-0,145811
0,178	2,79E-11	-0,0910208	-0,0910208
0,179	6,39E-12	-0,0288426	-0,0288426
0,18	5,11E-11	0,0359137	0,0359137
0,181	1,01E-10	0,0963092	0,0963092
0,182	1,54E-10	0,142731	0,142731
0,183	2,06E-10	0,164367	0,164367
0,184	2,58E-10	0,154768	0,154768
0,185	3,05E-10	0,116923	0,116923
0,186	3,47E-10	0,0607558	0,0607558
0,187	3,77E-10	-0,00324902	-0,00324902
0,188	3,91E-10	-0,0671222	-0,0671222
0,189	3,82E-10	-0,125291	-0,125291
0,19	3,46E-10	-0,173993	-0,173993
0,191	2,84E-10	-0,211016	-0,211016
0,192	1,98E-10	-0,235376	-0,235376
0,193	9,86E-11	-0,246807	-0,246807
0,194	2,32E-12	-0,245296	-0,245296
0,195	8,92E-11	-0,230842	-0,230842
0,196	1,46E-10	-0,203484	-0,203484
0,197	1,62E-10	-0,163607	-0,163607
0,198	1,30E-10	-0,112443	-0,112443
0,199	5,55E-11	-0,0525442	-0,0525442
0,2	5,08E-11	0,0119347	0,0119347
0,201	1,76E-10	0,0749255	0,0749255
0,202	3,10E-10	0,127816	0,127816
0,203	4,45E-10	0,159806	0,159806
0,204	5,78E-10	0,162006	0,162006
0,205	7,04E-10	0,133726	0,133726
0,206	8,17E-10	0,0830579	0,0830579
0,207	9,06E-10	0,0208864	0,0208864
0,208	9,58E-10	-0,043797	-0,043797
0,209	9,58E-10	-0,104613	-0,104613
0,21	8,93E-10	-0,157168	-0,157168
0,211	7,59E-10	-0,198702	-0,198702
0,212	5,62E-10	-0,227825	-0,227825
0,213	3,19E-10	-0,244067	-0,244067
0,214	6,18E-11	-0,247363	-0,247363
0,215	1,73E-10	-0,23772	-0,23772
0,216	3,44E-10	-0,215139	-0,215139
0,217	4,15E-10	-0,179828	-0,179828
0,218	3,64E-10	-0,132638	-0,132638
0,219	1,93E-10	-0,0755903	-0,0755903
0,22	7,22E-11	-0,0122188	-0,0122188
0,221	3,99E-10	0,0521794	0,0521794
0,222	7,56E-10	0,110005	0,110005
0,223	1,12E-09	0,151042	0,151042
0,224	1,49E-09	0,164936	0,164936
0,225	1,84E-09	0,147411	0,147411
0,226	2,16E-09	0,103792	0,103792
0,227	2,43E-09	0,0446971	0,0446971
0,228	2,62E-09	-0,0199238	-0,0199238
0,229	2,67E-09	-0,0827825	-0,0827825
0,23	2,56E-09	-0,138812	-0,138812
0,231	2,26E-09	-0,184668	-0,184668
0,232	1,78E-09	-0,218493	-0,218493
0,233	1,16E-09	-0,23954	-0,23954
0,234	4,61E-10	-0,247644	-0,247644
0,235	2,10E-10	-0,24281	-0,24281
0,236	7,47E-10	-0,22503	-0,22503
0,237	1,05E-09	-0,194394	-0,194394
0,238	1,03E-09	-0,151454	-0,151454
0,239	6,91E-10	-0,0977422	-0,0977422
0,24	6,70E-11	-0,0362032	-0,0362032
0,241	7,54E-10	0,0285605	0,0285605
0,242	1,68E-09	0,0898897	0,0898897
0,243	2,65E-09	0,138471	0,138471
0,244	3,62E-09	0,16342	0,16342
0,245	4,57E-09	0,157439	0,157439
0,246	5,46E-09	0,1224	0,1224
0,247	6,23E-09	0,0677696	0,0677696
0,248	6,80E-09	0,00420925	0,00420926
0,249	7,07E-09	-0,0599977	-0,0599977
0,25	6,93E-09	-0,11904	-0,11904
0,251	6,30E-09	-0,168965	-0,168965
0,252	5,17E-09	-0,207394	-0,207394
0,253	3,60E-09	-0,233227	-0,233227
0,254	1,78E-09	-0,24614	-0,24614
0,255	6,55E-11	-0,246111	-0,246111
0,256	1,65E-09	-0,23314	-0,23314
0,257	2,68E-09	-0,20725	-0,20725
0,258	2,93E-09	-0,168766	-0,168766
0,259	2,30E-09	-0,118794	-0,118794
0,26	8,57E-10	-0,059718	-0,0597181
0,261	1,20E-09	0,00450076	0,00450075
0,262	3,62E-09	0,068042	0,068042
0,263	6,21E-09	0,12261	0,12261
0,264	8,82E-09	0,157535	0,157535
0,265	1,14E-08	0,163373	0,163373
0,266	1,38E-08	0,138295	0,138296
0,267	1,60E-08	0,0896339	0,0896339
0,268	1,78E-08	0,0282729	0,0282729
0,269	1,88E-08	-0,0364873	-0,0364873
0,27	1,88E-08	-0,0979984	-0,0979984
0,271	1,75E-08	-0,151666	-0,151666
0,272	1,48E-08	-0,194552	-0,194552
0,273	1,09E-08	-0,22513	-0,22513
0,274	6,18E-09	-0,242851	-0,242851
0,275	1,14E-09	-0,247627	-0,247627
0,276	3,43E-09	-0,239464	-0,239464
0,277	6,73E-09	-0,218359	-0,218359
0,278	8,07E-09	-0,184477	-0,184477
0,279	7,06E-09	-0,13857	-0,13857
0,28	3,72E-09	-0,0825011	-0,0825011
0,281	1,49E-09	-0,0196226	-0,0196226
0,282	7,92E-09	0,0449899	0,0449899
0,283	1,49E-08	0,104037	0,104037
0,284	2,21E-08	0,147556	0,147556
0,285	2,93E-08	0,164939	0,164939
0,286	3,61E-08	0,150902	0,150902
0,287	4,25E-08	0,109765	0,109765
0,288	4,78E-08	0,0518906	0,0518907
0,289	5,13E-08	-0,0125141	-0,012514
0,29	5,24E-08	-0,0758635	-0,0758635
0,291	5,00E-08	-0,13287	-0,13287
0,292	4,39E-08	-0,180006	-0,180006
0,293	3,42E-08	-0,215258	-0,215258
0,294	2,16E-08	-0,237778	-0,237778
0,295	7,77E-09	-0,24736	-0,24736
0,296	5,48E-09	-0,244001	-0,244002
0,297	1,59E-08	-0,227698	-0,227698
0,298	2,15E-08	-0,198515	-0,198515
0,299	2,09E-08	-0,156926	-0,156926
0,3	1,37E-08	-0,104324	-0,104324
0,301	9,24E-10	-0,0434804	-0,0434805
0,302	1,58E-08	0,0212047	0,0212046
0,303	3,48E-08	0,0833407	0,0833406
0,304	5,45E-08	0,133923	0,133923
0,305	7,42E-08	0,162065	0,162065
0,306	9,33E-08	0,159707	0,159707
0,307	1,11E-07	0,127592	0,127593
0,308	1,27E-07	0,0746326	0,0746328
0,309	1,39E-07	0,0116221	0,0116222
0,31	1,44E-07	-0,0528418	-0,0528417
0,311	1,41E-07	-0,112702	-0,112702
0,312	1,27E-07	-0,163812	-0,163812
0,313	1,03E-07	-0,203627	-0,203627
0,314	7,06E-08	-0,23092	-0,23092
0,315	3,29E-08	-0,245309	-0,245309
0,316	4,96E-09	-0,246754	-0,246754
0,317	3,69E-08	-0,235257	-0,235257
0,318	5,71E-08	-0,210832	-0,210832
0,319	6,11E-08	-0,173747	-0,173747
0,32	4,70E-08	-0,124991	-0,124991
0,321	1,61E-08	-0,066785	-0,0667852
0,322	2,74E-08	-0,00289974	-0,00289994
0,323	7,84E-08	0,0610816	0,0610815
0,324	1,33E-07	0,117175	0,117175
0,325	1,87E-07	0,154889	0,154889
0,326	2,41E-07	0,164319	0,16432
0,327	2,92E-07	0,14253	0,142531
0,328	3,38E-07	0,0960121	0,0960124
0,329	3,74E-07	0,0355787	0,0355791
0,33	3,95E-07	-0,0291723	-0,0291719
0,331	3,95E-07	-0,0913158	-0,0913155
0,332	3,67E-07	-0,146052	-0,146052
0,333	3,09E-07	-0,190264	-0,190264
0,334	2,25E-07	-0,222282	-0,222282
0,335	1,23E-07	-0,241475	-0,241475
0,336	1,64E-08	-0,247722	-0,247722
0,337	7,94E-08	-0,241031	-0,241031
0,338	1,47E-07	-0,221395	-0,221396
0,339	1,73E-07	-0,188944	-0,188944
0,34	1,50E-07	-0,144336	-0,144336
0,341	7,74E-08	-0,0892852	-0,0892858
0,342	3,44E-08	-0,0269622	-0,0269628
0,343	1,72E-07	0,0377698	0,0377693
0,344	3,22E-07	0,0979005	0,0979001
0,345	4,75E-07	0,143745	0,143745
0,346	6,26E-07	0,164523	0,164524
0,347	7,72E-07	0,154017	0,154017
0,348	9,06E-07	0,115489	0,11549
0,349	1,02E-06	0,058964	0,0589652
0,35	1,09E-06	-0,00512822	-0,00512709
0,351	1,11E-06	-0,0688977	-0,0688967
0,352	1,06E-06	-0,126831	-0,12683
0,353	9,28E-07	-0,175214	-0,175213
0,354	7,14E-07	-0,211875	-0,211875
0,355	4,40E-07	-0,235858	-0,235858
0,356	1,39E-07	-0,246909	-0,24691
0,357	1,45E-07	-0,24502	-0,245021
0,358	3,65E-07	-0,230187	-0,230188
0,359	4,79E-07	-0,202454	-0,202455
0,36	4,59E-07	-0,162224	-0,162226
0,361	2,99E-07	-0,110763	-0,110765
0,362	1,77E-08	-0,0506675	-0,0506692
0,363	3,49E-07	0,013858	0,0138564
