t	L_x
6 800	9,94207
6 810	9,9448
6 820	9,94309
6 830	9,94104
6 840	9,94334
6 850	9,94044
6 860	9,9401
6 870	9,94188
6 880	9,94387
6 890	9,94413
6 900	9,94245
6 910	9,93898
6 920	9,94133
6 930	9,94337
6 940	9,94101
6 950	9,94243
6 960	9,94518
6 970	9,94236
6 980	9,93931
6 990	9,9404
7 000	9,94203
7 010	9,94447
7 020	9,9433
7 030	9,94098
7 040	9,94264
7 050	9,94265
7 060	9,93862
7 070	9,94091
7 080	9,94551
7 090	9,94381
7 100	9,94125
7 110	9,941
7 120	9,94099
7 130	9,94204
7 140	9,94197
7 150	9,9422
7 160	9,94522
7 170	9,9435
7 180	9,93865
7 190	9,94062
7 200	9,94371
7 210	9,94242
7 220	9,94218
7 230	9,94405
7 240	9,94232
7 250	9,94109
7 260	9,93905
7 270	9,94174
7 280	9,94525
7 290	9,94435
7 300	9,94001
7 310	9,94321
7 320	9,94258
7 330	9,93953
7 340	9,94062
7 350	9,94514
7 360	9,94467
7 370	9,94295
7 380	9,93944
7 390	9,94049
7 400	9,9438
7 410	9,94218
7 420	9,9411
7 430	9,94507
7 440	9,94487
7 450	9,93901
7 460	9,94017
7 470	9,94242
7 480	9,94381
7 490	9,94357
7 500	9,94334
7 510	9,94194
7 520	9,94284
7 530	9,93909
7 540	9,94043
7 550	9,9456
7 560	9,94561
7 570	9,9404
7 580	9,94212
7 590	9,94258
7 600	9,94082
7 610	9,94123
7 620	9,94346
7 630	9,94492
7 640	9,94422
7 650	9,93955
7 660	9,9392
7 670	9,94475
7 680	9,94311
7 690	9,94076
7 700	9,94434
7 710	9,94539
7 720	9,94054
7 730	9,93943
7 740	9,94154
7 750	9,94441
7 760	9,94525
7 770	9,94151
7 780	9,94162
7 790	9,94426
7 800	9,941
7 810	9,93882
7 820	9,94477
7 830	9,94595
7 840	9,9425
7 850	9,94103
7 860	9,94171
7 870	9,94197
7 880	9,94296
7 890	9,94192
7 900	9,94419
7 910	9,94596
7 920	9,94032
7 930	9,93857
7 940	9,944
7 950	9,9451
7 960	9,94092
7 970	9,94347
7 980	9,94444
7 990	9,94282
8 000	9,93966
8 010	9,94047
8 020	9,94401
8 030	9,94718
8 040	9,94114
8 050	9,94086
8 060	9,94448
8 070	9,94314
8 080	9,93854
8 090	9,94312
8 100	9,94641
8 110	9,94402
8 120	9,94076
8 130	9,94002
8 140	9,94298
8 150	9,94422
8 160	9,94213
8 170	9,94288
8 180	9,94658
8 190	9,94133
8 200	9,93876
8 210	9,9424
8 220	9,94534
8 230	9,94249
8 240	9,94346
8 250	9,94303
8 260	9,94364
8 270	9,94083
8 280	9,93976
8 290	9,94385
8 300	9,9479
8 310	9,94238
8 320	9,93991
8 330	9,94365
8 340	9,94312
8 350	9,94047
8 360	9,9422
8 370	9,94591
8 380	9,94553
8 390	9,94199
8 400	9,93806
8 410	9,94288
8 420	9,9458
8 430	9,94282
8 440	9,94198
8 450	9,94588
8 460	9,94301
8 470	9,93967
8 480	9,94063
8 490	9,94416
8 500	9,94573
8 510	9,94404
8 520	9,94139
8 530	9,94294
8 540	9,94302
8 550	9,93972
8 560	9,94327
8 570	9,94714
8 580	9,94416
8 590	9,94075
8 600	9,94234
8 610	9,94241
8 620	9,94285
8 630	9,94285
8 640	9,94415
8 650	9,9463
8 660	9,94296
8 670	9,93825
8 680	9,94172
8 690	9,94629
8 700	9,94331
8 710	9,94286
8 720	9,94404
8 730	9,94358
8 740	9,94141
8 750	9,94115
8 760	9,94203
8 770	9,94704
8 780	9,94476
8 790	9,94051
8 800	9,94182
8 810	9,9444
8 820	9,94149
8 830	9,94253
8 840	9,94534
8 850	9,94448
8 860	9,94356
8 870	9,94117
8 880	9,94097
8 890	9,94386
8 900	9,94513
8 910	9,94244
8 920	9,94517
8 930	9,94355
8 940	9,94026
8 950	9,94127
8 960	9,94584
8 970	9,94371
8 980	9,944
8 990	9,9429
9 000	9,94307
9 010	9,94296
9 020	9,94192
9 030	9,94155
9 040	9,94663
9 050	9,94612
9 060	9,94091
9 070	9,9419
9 080	9,94378
9 090	9,94261
9 100	9,94284
9 110	9,94477
9 120	9,94422
9 130	9,9447
9 140	9,94059
9 150	9,94039
9 160	9,94468
9 170	9,94651
9 180	9,94219
9 190	9,94393
9 200	9,94376
9 210	9,94168
9 220	9,94194
9 230	9,94383
9 240	9,94385
9 250	9,94529
9 260	9,94377
9 270	9,94157
9 280	9,94324
9 290	9,94252
9 300	9,9421
9 310	9,94593
9 320	9,94621
9 330	9,94146
9 340	9,9416
9 350	9,9431
9 360	9,94316
9 370	9,94391
9 380	9,94419
9 390	9,94426
9 400	9,94521
9 410	9,9416
9 420	9,93949
9 430	9,9448
9 440	9,94607
9 450	9,94357
9 460	9,94325
9 470	9,94415
9 480	9,94224
9 490	9,9428
9 500	9,94243
9 510	9,94441
9 520	9,94661
9 530	9,94399
9 540	9,94072
9 550	9,94303
9 560	9,9434
9 570	9,94277
9 580	9,94541
9 590	9,94532
9 600	9,94355
9 610	9,94224
9 620	9,94198
9 630	9,94261
9 640	9,94589
9 650	9,94382
9 660	9,94412
9 670	9,94475
9 680	9,94284
9 690	9,94021
9 700	9,94452
9 710	9,94508
9 720	9,94467
9 730	9,94382
9 740	9,94327
9 750	9,94288
9 760	9,94367
9 770	9,9417
9 780	9,94396
9 790	9,94772
9 800	9,9443
9 810	9,9408
9 820	9,94233
9 830	9,94384
9 840	9,94392
9 850	9,94535
9 860	9,94384
9 870	9,94486
9 880	9,94371
9 890	9,94132
9 900	9,942
9 910	9,94627
9 920	9,94434
9 930	9,94393
9 940	9,94444
9 950	9,94278
9 960	9,94195
9 970	9,94427
9 980	9,94432
9 990	9,94532
10 000	9,94491
10 010	9,94212
10 020	9,94287
10 030	9,94425
10 040	9,94221
10 050	9,94398
10 060	9,94756
